no,eclipse,ours
1,222,222
2,146,146
3,124,124
4,117,117
5,139,759
6,186,315
7,221,336
8,184,394
9,180,303
10,192,367
11,193,193
12,138,138
13,134,134
14,152,152
15,129,205
16,133,500
17,140,365
18,115,427
19,136,427
20,125,310
21,224,14178
22,361,11996
23,133,14189
24,112,289
25,136,231
26,143,5557
27,119,119
28,138,17190
29,137,168
30,145,5878
31,120,5773
32,122,203
33,124,235
34,125,200
35,129,129
36,136,136
37,133,133
38,125,202
39,90,212
40,90,60
41,75,56
42,69,114
43,81,247
44,92,148
45,111,344
46,110,524
47,50,50
48,97,125
49,124,124
50,111,111
51,113,113
52,110,110
53,109,109
54,113,113
55,113,113
56,119,119
57,115,115
58,112,146
59,113,193
60,120,307
61,109,315
62,127,193
63,115,437
64,123,213
65,119,119
66,120,217
67,109,5135
68,109,109
69,108,351
70,122,272
71,130,130
72,130,130
73,117,280
74,125,212
75,130,114
76,136,136
77,122,416
78,107,107
79,107,107
80,107,305
81,112,525
82,135,215
83,114,200
84,124,124
85,125,181
86,111,111
87,122,332
88,118,111
89,118,118
90,126,170
91,112,182
92,116,180
93,128,185
94,128,208
95,116,246
96,123,180
97,118,205
98,114,183
99,113,181
100,117,176
101,117,179
102,115,179
103,113,178
104,111,181
105,122,276
106,116,178
107,117,278
108,112,222
109,121,121
110,111,414
111,107,107
112,112,112
113,112,112
114,125,125
115,116,413
116,115,115
117,113,348
118,124,124
119,112,112
120,114,114
121,132,183
122,131,206
123,126,341
124,140,177
125,112,191
126,117,182
127,174,181
128,120,187
129,114,186
130,129,183
131,127,182
132,127,183
133,120,233
134,111,111
135,74,74
136,41,16
137,60,18
138,254,377
139,216,438
140,186,591
141,187,372
142,205,598
143,191,433
144,196,365
145,178,316
146,163,545
147,158,288
148,156,270
149,138,279
150,160,277
151,152,540
152,147,472
153,158,425
154,158,266
155,148,271
156,156,269
157,156,408
158,163,326
159,161,311
160,152,165
161,152,34334
162,154,352
163,141,292
164,144,265
165,148,162
166,161,271
167,162,34144
168,158,343
169,168,282
170,151,366
171,144,404
172,160,160
173,144,375
174,141,372
175,165,269
176,77,58
177,77,57
178,44,59
179,89,109
180,62,245
181,69,104
182,67,179
183,96,104
184,92,163
185,97,412
186,93,219
187,89,100
188,97,101
189,80,253
190,97,1018
191,94,981
192,99,787
193,101,167
194,101,184
195,99,2840
196,58,775
197,101,181
198,92,126
199,99,626
200,83,175
201,95,106
202,79,136
203,90,138
204,94,79
205,96,85
206,52,534
207,62,530
208,95,85
209,92,87
210,88,2706
211,53,2720
212,57,2705
213,83,1009
214,66,113
215,92,1019
216,69,990
217,99,1814
218,87,81
219,100,83
220,95,83
221,82,562
222,99,80
223,94,158
224,60,151
225,68,3915
226,60,4016
227,100,5694
228,82,3959
229,80,7355
230,92,5733
231,90,11249
232,114,5702
233,83,4015
234,84,7381
235,83,115
236,101,95
237,105,163
238,101,95
239,66,210
240,74,242
241,92,100
242,60,211
243,92,316
244,91,234
245,92,129
246,102,95
247,79,246
248,91,99
249,76,216
250,106,205
251,105,153
252,105,82
253,88,79
254,66,88
255,64,159
256,98,205
257,92,202
258,62,90
259,102,205
260,100,178
261,87,162
262,96,2572
263,84,85
264,85,68
265,62,2755
266,79,933
267,69,84
268,69,82
269,88,922
270,87,67
271,93,85
272,81,155
273,76,189
274,73,234
275,99,422
276,56,184
277,94,229
278,44,58
279,81,71
280,109,109
281,101,101
282,107,107
283,67,67
284,125,125
285,108,108
286,73,73
287,119,119
288,103,103
289,105,105
290,91,183
291,107,432
292,104,195
293,96,182
294,82,204
295,101,76
296,85,219
297,103,539
298,104,990
299,103,366
300,81,374
301,71,630
302,106,261
303,99,103
304,96,475
305,90,129
306,74,85
307,104,400
308,96,557
309,119,333
310,99,717
311,97,528
312,100,143
313,98,139
314,110,138
315,113,142
316,101,154
317,95,176
318,71,71
319,116,116
320,74,74
321,80,80
322,84,84
323,49,49
324,78,78
325,81,81
326,115,28
327,75,30
328,71,29
329,55,29
330,97,40
331,45,39
332,72,38
333,73,48
334,75,43
335,78,29
336,78,142
337,104,230
338,61,4410
339,83,4328
340,88,5855
341,88,4423
342,86,4346
343,90,2740
344,112,95
345,113,1693
346,51,47
347,88,58
348,60,101
349,86,66
350,60,60
351,74,74
352,107,42
353,88,184
354,57,169
355,62,170
356,94,169
357,102,19
358,61,17
359,90,18
360,70,168
361,89,165
362,86,18
363,75,168
364,57,165
365,51,17
366,48,169
