no,eclipse,ours
1,621,149
2,182,633
3,243,203
4,165,433
5,174,248
6,138,138
7,192,192
8,117,234
9,203,217
10,148,146
11,126,595
12,122,112
13,166,677
14,113,163
15,129,132
16,145,106
17,114,119
18,120,134
19,69,170
20,109,150
21,50,208
22,58,76
23,123,54
24,99,57
25,123,99
26,113,46
27,105,195
28,56,105
29,195,204
30,177,225
31,97,97
32,109,238
33,126,185
34,130,147
35,122,309
36,128,62
37,196,118
38,115,166
39,172,197
40,149,231
41,116,209
42,170,175
43,124,144
44,130,460
45,115,488
46,140,96
47,117,449
48,113,128
49,113,120
50,86,93
51,111,91
52,130,245
53,75,252
54,148,883
55,136,758
56,114,739
57,83,177
58,169,269
59,151,259
60,175,175
61,137,137
62,122,196
63,140,293
64,153,230
65,128,128
66,106,106
67,116,143
68,88,111
69,91,255
70,141,193
71,109,230
72,135,283
73,112,183
74,117,674
75,107,192
76,104,154
77,139,211
78,106,106
79,117,213
80,102,153
81,125,150
82,104,53
83,122,52
84,109,101
85,150,68
86,112,835
87,119,122
88,113,890
89,117,133
90,78,114
91,75,96
92,100,90
93,109,253
94,73,91
95,109,142
96,110,111
97,70,88
98,129,104
99,124,69
100,105,400
101,119,268
102,70,295
103,88,197
104,119,159
105,68,268
106,116,134
107,123,317
108,127,134
109,109,506
110,119,221
111,123,163
112,126,230
113,72,87
114,109,103
115,70,136
116,79,358
117,129,260
118,110,213
119,110,165
120,108,73
121,101,23
122,191,68
123,102,726
124,141,4511
125,203,203
126,116,104
127,117,119
128,104,13460
129,121,370
130,117,378
131,140,499
132,134,603
133,128,260
134,116,922
135,117,910
136,117,1161
137,142,277
138,111,336
139,111,111
140,127,394
141,113,15571
142,140,438
143,120,40
144,122,4112
145,137,9156
146,141,793
147,139,1778
148,146,420
149,120,27
150,130,32
151,134,8146
152,117,44
153,123,1629
154,294,294
155,116,116
156,125,655
157,137,137
158,121,4638
159,150,235
160,165,23392
161,128,464
162,115,29
163,203,1483
164,130,130
165,137,137
166,121,30
167,141,31
168,138,138
169,139,625
170,140,3057
171,130,708
172,120,532
173,112,679
174,121,1717
175,50,37
176,167,7758
177,100,236
178,105,191
179,97,336
180,70,355
181,64,219
182,95,1033
183,106,46
184,98,98
185,59,4330
186,78,61
187,90,179
188,100,187
189,92,184
190,76,338
191,124,278
192,115,298
193,101,298
194,97,295
195,69,311
196,60,149
197,112,4863
198,91,1900
199,116,374
200,106,46
201,101,51
202,99,202
203,90,151
204,97,134
205,62,151
206,104,1286
207,112,3024
208,117,375
209,91,19
210,89,1111
211,106,279
212,112,372
213,54,278
214,103,142
215,84,1592
216,105,273
217,108,252
218,93,187
219,50,108
220,50,134
221,94,122
222,64,475
223,103,151
224,103,7361
225,99,3408
226,82,2963
227,54,500
228,105,715
229,149,194
230,103,534
231,129,255
232,126,649
233,116,154
234,112,1668
235,128,177
236,145,401
237,115,1246
238,126,250
239,111,11797
240,149,10362
241,141,10093
242,76,10370
243,134,652
244,122,1610
245,115,8673
246,107,4690
247,85,4350
248,80,74
249,95,9137
250,119,24
251,104,12488
252,130,4189
253,101,4044
254,109,37201
255,140,16119
256,168,336
257,103,141
258,117,147
259,99,3018
260,110,824
261,102,1147
262,94,1042
263,61,61
264,105,546
265,74,518
266,94,496
267,103,325
268,93,1638
269,59,350
270,49,42
271,53,274
272,146,146
273,131,132
274,123,260
275,172,263
276,174,845
277,133,134
278,129,955
279,144,1444
280,130,281
281,142,145
282,116,116
283,168,520
284,115,394
285,136,272
286,143,196
287,128,1157
288,135,135
289,115,3120
290,147,209
291,135,222
292,133,209
293,133,208
294,125,597
295,121,264
296,122,250
297,156,278
298,134,197
299,120,112
300,118,449
301,112,582
302,135,109
303,123,652
304,133,312
305,133,272
306,118,105
307,123,806
308,132,209
309,130,218
310,135,223
311,144,742
312,161,338
313,142,142
314,123,123
315,129,1124
316,132,581
317,137,553
318,148,188
319,124,199
320,134,205
321,119,209
322,125,680
323,113,639
324,118,37
325,132,36
326,117,1540
327,121,489
328,113,622
329,144,510
330,159,339
331,101,267
332,106,633
333,54,62
334,73,61
335,64,131
336,53,68
337,50,34
338,48,71
339,95,1544
