no,eclipse,ours
1,147,166
2,107,444
3,40,71
4,71,71
5,69,77
6,36,67
7,74,69
8,35,65
9,68,63
10,37,129
11,69,82
12,36,69
13,41,76
14,64,22
15,36,36
16,41,41
17,41,63
18,74,96
19,40,64
20,186,165
21,149,142
22,126,211
23,150,284
24,127,345
25,126,312
26,129,213
27,121,233
28,155,285
29,127,355
30,129,244
31,153,205
32,124,206
33,136,210
34,155,387
35,132,71
36,185,249
37,129,81
38,122,247
39,167,242
40,148,71
41,181,198
42,126,198
43,156,195
44,139,125
45,244,160
46,153,121
47,149,158
48,140,202
49,123,200
50,122,159
51,153,77
52,129,129
53,123,66
54,126,320
55,124,44
56,157,161
57,159,241
58,135,159
59,130,65
60,122,267
61,123,361
62,155,195
63,135,253
64,156,308
65,133,133
66,138,276
67,127,70
68,146,193
69,124,70
70,158,195
71,160,77
72,133,190
73,152,879
74,167,232
75,210,296
76,148,209
77,136,222
78,163,350
79,151,201
80,136,69
81,139,418
82,158,158
83,131,171
84,161,161
85,132,132
86,146,216
87,161,266
88,173,295
89,153,178
90,174,448
91,164,327
92,181,511
93,140,206
94,117,156
95,123,207
96,68,143
97,59,184
98,38,38
99,53,43
100,91,37
101,39,59
102,102,127
103,57,127
104,63,211
105,56,172
106,67,122
107,71,147
108,61,203
109,61,218
110,59,118
111,59,125
112,150,197
113,183,199
114,127,206
115,217,188
116,129,214
117,160,201
118,146,193
119,130,198
120,115,207
121,222,379
122,183,86
123,128,72
124,119,70
125,127,71
126,171,111
127,148,64
128,121,68
129,115,65
130,127,71
131,129,74
132,123,69
133,179,71
134,129,64
135,153,66
136,151,72
137,123,69
138,118,64
139,119,67
140,121,121
141,126,126
142,121,121
143,122,122
144,115,115
145,116,116
146,124,124
147,121,121
148,124,124
149,115,115
150,113,113
151,111,111
152,113,113
153,134,134
154,150,150
155,122,122
156,121,121
157,129,129
158,120,156
159,140,257
160,133,161
161,129,225
162,126,191
163,130,201
164,125,196
165,132,193
166,162,191
167,131,200
168,120,207
169,142,185
170,133,180
171,130,210
172,131,202
173,132,162
174,144,292
175,194,204
176,127,167
177,144,337
178,136,260
179,252,185
180,129,158
181,130,325
182,230,247
183,165,260
184,126,148
185,128,257
186,149,247
187,137,165
188,139,267
189,137,264
190,130,160
191,138,314
192,144,273
193,189,153
194,126,148
195,135,253
196,177,419
197,205,335
198,131,205
199,122,254
200,149,178
201,157,274
202,123,207
203,117,212
204,132,179
205,226,270
206,123,202
207,130,298
208,124,227
209,126,238
210,123,219
211,136,222
212,134,194
213,167,468
214,167,327
215,189,191
216,178,361
217,112,107
218,84,77
219,107,252
220,136,76
221,75,135
222,79,213
223,82,147
224,76,153
225,68,89
226,96,226
227,114,133
228,137,115
229,99,353
230,105,157
231,79,270
232,78,95
233,114,105
234,113,85
235,103,205
236,76,162
237,82,92
238,120,157
239,134,175
240,104,93
241,56,83
242,37,65
243,94,70
244,48,42
245,78,42
246,49,51
247,83,53
248,45,37
249,64,46
250,76,28
251,55,36
252,97,50
253,103,286
254,135,280
255,65,186
256,61,90
257,117,237
258,127,113
259,63,138
260,67,86
261,64,318
262,67,104
263,78,140
264,57,248
265,65,184
266,104,205
267,60,216
268,58,182
269,66,72
270,87,75
271,52,64
272,93,101
273,89,235
274,57,425
275,53,87
276,55,86
277,57,148
278,85,80
279,77,68
280,86,64
281,79,65
282,83,69
283,68,675
284,67,90
285,111,102
286,73,1546
287,85,96
288,61,171
289,63,72
290,79,121
291,91,86
292,62,118
293,76,80
294,95,119
295,66,83
296,60,118
297,71,76
298,71,118
299,60,79
300,62,185
301,61,75
302,95,119
303,67,76
304,83,116
305,58,191
306,80,62
307,58,1718
308,65,61
309,92,83
310,90,354
311,153,118
312,212,2119
313,54,184
314,63,103
315,70,103
316,68,102
317,58,109
318,54,141
319,64,143
320,70,102
321,116,161
322,92,142
