no,eclipse,ours
1,141,1986
2,110,113
3,58,497
4,54,164
5,350,452
6,120,340
7,90,920
8,110,96
9,80,665
10,112,74
11,52,959
12,109,89
13,110,303
14,98,82
15,54,882
16,84,81
17,101,544
18,79,77
19,134,923
20,86,75
21,82,551
22,81,875
23,91,646
24,54,54
25,77,450
26,56,429
27,53,76
28,124,2447
29,52,52
30,77,68
31,54,54
32,97,195
33,84,476
34,88,238
35,94,221
36,87,87
37,117,251
38,54,54
39,72,160
40,56,443
41,54,373
42,61,436
43,55,55
44,99,138
45,60,103
46,63,140
47,90,105
48,67,67
49,82,150
50,84,98
51,95,181
52,78,108
53,61,107
54,72,103
55,86,397
56,101,394
57,99,179
58,65,191
59,93,160
60,67,164
61,90,221
62,77,185
63,98,83
64,63,86
65,98,369
66,99,141
67,114,88
68,101,205
69,100,49
70,87,164
71,118,118
72,97,46
73,94,188
74,95,48
75,106,181
76,103,122
77,127,172
78,114,129
79,104,127
80,90,168
81,74,165
82,95,95
83,87,330
84,72,176
85,103,164
86,89,162
87,119,119
88,98,169
89,88,170
90,96,185
91,99,99
92,97,96
93,91,489
94,105,119
95,109,109
96,123,406
97,69,308
98,145,318
99,92,116
100,86,298
101,84,84
102,102,396
103,85,274
104,85,85
105,116,186
106,74,304
107,107,174
108,99,150
109,98,125
110,111,181
111,94,228
112,111,111
113,93,93
114,85,233
115,92,161
116,102,102
117,94,262
118,92,92
119,103,314
120,92,653
121,89,89
122,103,233
123,99,211
124,111,271
125,108,250
126,74,460
127,108,450
128,92,92
129,105,105
130,95,95
131,92,92
132,90,99
133,107,107
134,90,752
135,94,167
136,110,166
137,85,214
138,71,71
139,118,745
140,91,488
141,110,244
142,75,75
143,94,94
144,95,95
145,91,91
146,112,360
147,109,117
148,111,159
149,113,113
150,55,59
151,73,209
152,53,207
153,88,101
154,53,58
155,54,356
156,54,60
157,115,101
158,54,407
159,49,104
160,46,3969
161,37,37
162,47,222
163,47,2488
164,37,37
165,60,80
166,73,359
167,49,61
168,68,68
169,52,99
170,47,47
171,113,63
172,54,62
173,107,107
174,82,82
175,116,1427
176,82,703
177,42,42
178,81,81
179,90,90
180,63,91
181,64,90
182,51,67
183,101,151
184,55,55
185,73,87
186,75,100
187,48,48
188,71,71
189,105,87
190,38,51
191,90,171
192,40,221
193,49,49
194,78,86
195,42,1278
196,40,704
197,55,136
198,57,123
199,38,122
200,44,120
201,56,234
202,57,122
203,38,124
204,41,41
205,89,67
206,50,65
207,67,40
208,68,31
209,84,377
210,40,33
211,65,31
212,66,757
213,40,31
214,71,615
215,54,72
216,57,99
217,75,74
218,80,113
219,110,171
220,61,82
221,75,448
222,90,80
223,90,101
224,69,100
225,82,124
226,92,162
227,65,102
228,94,109
229,59,194
230,84,76
231,84,103
232,59,118
233,55,81
234,81,87
235,63,106
236,58,144
237,57,79
238,61,90
239,86,260
240,78,71
241,87,107
242,55,115
243,65,74
244,56,82
245,91,218
246,55,263
247,57,107
248,57,201
249,66,103
250,123,95
251,59,102
252,85,74
253,77,116
254,52,72
255,120,71
256,76,108
257,60,252
258,58,425
259,81,102
260,97,165
261,56,75
262,78,121
263,126,283
264,96,181
265,95,104
266,80,108
267,56,72
268,59,120
269,91,112
270,110,75
271,116,102
272,56,111
273,64,109
274,64,196
275,99,163
276,63,104
277,60,104
278,56,159
279,66,100
280,64,104
281,116,80
282,77,214
283,83,108
284,60,385
285,59,75
286,54,78
287,57,116
288,56,82
289,82,107
290,54,78
291,64,140
292,59,59
293,54,54
294,108,424
295,54,385
296,54,54
297,88,73
298,50,40
299,90,143
300,58,41
301,117,117
302,83,73
303,81,64
304,78,133
305,93,65
306,58,55
307,56,47
308,73,67
309,68,59
310,55,105
311,50,114
312,55,48
313,86,190
314,60,49
315,84,80
316,47,47
317,76,76
318,48,45
319,68,48
320,75,192
321,52,79
322,89,60
323,79,58
324,58,114
325,77,58
326,65,46
327,90,132
328,56,182
329,56,81
330,49,57
331,82,85
332,77,93
333,90,79
334,62,113
335,83,113
336,57,195
337,55,59
338,94,59
339,56,85
340,80,104
341,58,83
342,65,57
343,53,135
344,94,58
345,62,80
346,63,57
347,78,58
348,79,60
349,105,68
350,82,82
351,111,111
352,55,55
353,77,86
354,52,114
355,114,97
356,88,171
357,99,77
358,133,205
359,60,72
360,60,72
361,87,87
362,86,72
363,60,92
364,100,73
365,98,70
366,76,159
367,61,61
368,52,52
369,82,48
370,75,44
371,76,53
372,55,62
373,78,444
374,56,62
375,73,71
376,54,304
377,84,84
378,52,65
379,46,46
380,112,165
381,77,77
382,77,543
383,50,50
384,74,136
385,79,415
386,54,1240
387,84,84
388,55,66
389,76,106
390,95,79
391,119,90
392,79,79
393,88,44
394,79,73
395,81,65
396,52,79
397,54,118
398,47,52
399,46,46
400,92,80
401,82,82
402,102,102
403,67,67
404,111,145
405,61,104
406,56,171
407,64,98
408,60,90
409,61,61
410,117,117
411,101,72
412,49,49
413,135,135
414,49,453
415,44,35
416,75,41
417,76,235
418,72,151
419,98,52
420,93,79
421,111,97
422,60,75
423,92,794
424,61,414
425,80,160
426,89,693
427,93,645
428,104,129
429,105,165
430,103,103
431,123,195
432,90,170
433,95,143
434,96,143
435,106,285
436,63,63
437,97,142
438,91,66
439,63,117
440,100,161
441,97,275
442,67,67
443,91,263
444,64,183
445,66,200
446,68,89
447,98,111
448,85,96
449,86,86
450,86,91
451,95,95
452,58,63
453,79,64
454,84,63
455,83,83
456,88,89
457,59,59
458,102,76
459,58,102
460,103,210
461,90,90
462,69,69
463,115,119
464,64,82
465,63,84
466,61,117
467,61,120
468,100,83
469,89,118
470,64,64
471,121,82
472,59,113
473,68,118
474,90,90
475,96,96
476,91,91
477,70,70
478,87,87
479,70,211
480,64,92
481,97,97
482,60,60
483,82,233
484,86,88
485,96,67
486,96,93
487,83,94
488,68,67
489,49,95
490,87,228
491,95,225
492,69,276
493,81,227
494,91,945
495,61,168
496,103,82
497,96,858
498,63,63
499,129,129
500,102,5211
501,64,113
502,87,339
503,63,401
504,63,140
505,69,69
506,63,63
507,117,117
508,95,666
509,61,61
510,94,141
511,61,61
512,114,114
513,64,64
514,89,89
515,115,115
516,86,86
517,76,54
518,83,133
519,82,618
520,85,46
521,49,46
522,51,51
523,91,352
524,96,185
525,98,454
526,68,99
527,98,154
528,76,58
529,57,64
530,117,73
531,91,285
532,56,73
533,60,165
534,64,140
535,84,45
536,57,145
537,60,3267
538,91,91
539,61,19437
540,62,62
541,121,121
542,64,19510
543,65,65
544,66,66
545,92,3272
546,54,60868
547,149,149
548,75,75
549,120,120
550,59,59
551,108,1241
552,64,55
553,60,982
554,118,118
555,114,243
556,159,159
557,112,355
558,111,345
559,112,208
560,127,226
561,118,7257
562,144,151
563,130,30233
564,175,170
565,160,31513
566,149,7339
567,118,18246
568,132,33542
569,129,7550
570,135,18266
571,133,133
572,118,191
573,132,141
574,127,187
575,122,191
576,124,280
577,123,234
578,123,132
579,107,162
580,113,401
581,134,191
582,128,549
583,112,140
584,116,250
585,118,186
586,129,186
587,115,185
588,132,135
589,132,7138
590,123,180
591,106,41116
592,157,157
593,109,65579
594,151,24347
595,161,316
596,136,136
597,125,7161
598,105,26425
599,142,142
600,119,483
601,113,193
602,122,167
603,125,252
604,130,130
605,120,120
606,122,134
607,108,24288
608,128,26174
609,145,27847
610,138,31125
611,147,147
612,110,39803
613,97,97
614,119,37744
615,168,7151
616,117,25924
617,92,92
618,111,50316
619,127,127
620,114,114
621,120,120
622,123,418
623,117,155
624,123,123
625,120,120
626,113,113
627,118,118
628,115,141
629,110,110
630,112,183
631,124,234
632,119,132
633,93,223
634,112,112
635,114,7176
636,114,6976
637,126,190
638,96,24767
639,133,68600
640,96,22168
641,143,143
642,116,7018
