no,eclipse,ours
1,141,919
2,109,95
3,80,156
4,115,225
5,112,164
6,94,52
7,54,153
8,73,176
9,101,2522
10,128,116
11,65,76
12,86,1185
13,91,36
14,85,57
15,44,97
16,76,619
17,80,630
18,90,79
19,55,37
20,64,28
21,126,183
22,51,73
23,72,77
24,49,338
25,89,82
26,52,848
27,41,840
28,80,69
29,37,751
30,50,93
31,68,621
32,42,31
33,86,90
34,87,485
35,82,332
36,60,65
37,76,85
38,69,80
39,89,111
40,51,42
41,72,26
42,112,27
43,72,28
44,101,50
45,49,55
46,78,78
47,63,68
48,195,50
49,109,161
50,87,89
51,81,199
52,77,43
53,76,164
54,89,115
55,88,79
56,99,95
57,40,186
58,82,32
59,45,23
60,77,27
61,101,25
62,61,107
63,47,34
64,45,41
65,111,50
66,47,1328
67,44,73
68,44,53
69,72,49
70,104,49
71,81,1935
72,81,83
73,53,74
74,87,73
75,52,69
76,50,76
77,78,99
78,95,105
79,96,84
80,74,29
81,51,43
82,79,533
83,43,204
84,49,376
85,81,224
86,73,57
87,95,95
88,89,235
89,71,215
90,47,59
91,99,624
92,61,423
93,88,1607
94,46,431
95,85,1623
96,88,214
97,71,40
98,43,34
99,101,101
100,54,30
101,50,30
102,95,35
103,82,905
104,49,1042
105,57,125
106,76,62
107,49,44
108,128,62
109,57,94
110,94,62
111,91,59
112,42,148
113,89,52
114,45,43
115,105,150
116,55,52
117,84,43
118,108,64
119,86,61
120,85,128
121,87,64
122,91,40
123,89,100
124,57,69
125,78,90
126,44,75
127,86,174
128,46,209
129,72,78
130,38,164
131,91,273
132,71,135
133,75,39
134,62,35
135,89,145
136,83,93
137,52,43
138,51,144
